Scanning MTD dataset for themes with max 15 notes...
This may take a moment...

  Processed 500/2067 files...  Processed 1000/2067 files...  Processed 1500/2067 files...  Processed 2000/2067 files...

Found 639 themes with max 15 notes:

   1. MTD0262 | Bach - BWV1001-02                                            |  9 notes
 437. MTD5355 | Mahler - SymphonyNo9-01                                      | 13 notes
 438. MTD5363 | Mahler - SymphonyNo9-03                                      | 11 notes
 439. MTD5365 | Mahler - SymphonyNo9-03                                      | 12 notes
 440. MTD5366 | Mahler - SymphonyNo9-04                                      | 11 notes
 441. MTD5368 | Mahler - SymphonyNo9-04                                      | 14 notes
 442. MTD5553 | Mendelssohn - Lieder ohne Worte                              | 14 notes
 443. MTD5496 | Mendelssohn - MWVM013-09                                     | 15 notes
 444. MTD5480 | Mendelssohn - MWVO014-03                                     | 10 notes
 445. MTD5481 | Mendelssohn - MWVO014-03                                     | 15 notes
 446. MTD5473 | Mendelssohn - concerto Vn.                                   | 13 notes
 447. MTD5642 | Milhaud - le boef sur le toit                                | 15 notes
 448. MTD5643 | Milhaud - le boef sur le toit                                | 15 notes
 449. MTD5646 | Milhaud - le boef sur le toit                                | 12 notes
 450. MTD5647 | Milhaud - le boef sur le toit                                | 11 notes
 451. MTD6133 | Mozart - KV016-01                                            | 12 notes
 452. MTD6134 | Mozart - KV016-01                                            | 14 notes
 453. MTD6137 | Mozart - KV016-03                                            | 15 notes
 454. MTD6139 | Mozart - KV110-01                                            | 11 notes
 455. MTD6149 | Mozart - KV112-03                                            | 14 notes
 456. MTD6152 | Mozart - KV112-04                                            | 15 notes
 457. MTD6097 | Mozart - KV145                                               | 14 notes
 458. MTD6154 | Mozart - KV183-01                                            | 14 notes
 459. MTD5835 | Mozart - KV188-01                                            | 11 notes
 460. MTD6165 | Mozart - KV200-03                                            | 14 notes
 461. MTD6166 | Mozart - KV200-03                                            | 14 notes
 462. MTD6168 | Mozart - KV200-04                                            | 13 notes
 463. MTD6171 | Mozart - KV201-01                                            | 12 notes
 464. MTD5802 | Mozart - KV219-03                                            | 15 notes
 465. MTD5992 | Mozart - KV250-01                                            | 15 notes
 466. MTD5993 | Mozart - KV250-01                                            | 12 notes
 467. MTD5995 | Mozart - KV250-03                                            | 11 notes
 468. MTD5998 | Mozart - KV250-04                                            |  9 notes
 469. MTD5999 | Mozart - KV250-05                                            | 12 notes
 470. MTD6000 | Mozart - KV250-06                                            | 13 notes
 471. MTD5888 | Mozart - KV285-02                                            | 15 notes
 472. MTD6180 | Mozart - KV297-02                                            | 14 notes
 473. MTD6182 | Mozart - KV297-03                                            | 11 notes
 474. MTD6187 | Mozart - KV319-01                                            | 12 notes
 475. MTD6188 | Mozart - KV319-01                                            | 12 notes
 476. MTD6190 | Mozart - KV319-02                                            | 12 notes
 477. MTD6193 | Mozart - KV319-03                                            | 12 notes
 478. MTD6003 | Mozart - KV320-01                                            | 15 notes
 479. MTD6006 | Mozart - KV320-03                                            | 14 notes
 480. MTD6010 | Mozart - KV320-07                                            | 15 notes
 481. MTD6061 | Mozart - KV331-02                                            | 15 notes
 482. MTD6063 | Mozart - KV331-03                                            | 15 notes
 483. MTD6199 | Mozart - KV338-02                                            | 12 notes
 484. MTD6202 | Mozart - KV338-03                                            | 14 notes
 485. MTD6203 | Mozart - KV385-01                                            | 14 notes
 486. MTD6205 | Mozart - KV385-02                                            | 14 notes
 487. MTD6210 | Mozart - KV385-04                                            | 14 notes
 488. MTD6211 | Mozart - KV425-01                                            | 13 notes
 489. MTD6220 | Mozart - KV425-04                                            | 10 notes
 490. MTD5963 | Mozart - KV452-01                                            | 14 notes
 491. MTD5752 | Mozart - KV466-03                                            | 13 notes
 492. MTD5755 | Mozart - KV467-02                                            | 11 notes
 493. MTD6230 | Mozart - KV504-01                                            | 12 notes
 494. MTD6233 | Mozart - KV504-02                                            | 15 notes
 495. MTD6238 | Mozart - KV543-01                                            | 14 notes
 496. MTD6240 | Mozart - KV543-01                                            | 14 notes
 497. MTD6250 | Mozart - KV550-02                                            | 12 notes
 498. MTD6259 | Mozart - KV551-02                                            | 14 notes
 499. MTD6265 | Mozart - KV551-04                                            | 12 notes
 500. MTD5957 | Mozart - KV581-01                                            | 15 notes
 501. MTD5707 | Mozart - Klarinettenkonzert                                  | 14 notes
 502. MTD5749 | Mozart - Klavierkonzert                                      | 13 notes
 503. MTD6248 | Mozart - Symphony No 40                                      | 14 notes
 504. MTD5863 | Mozart - fantasie                                            | 15 notes
 505. MTD5796 | Mozart - turkish                                             | 10 notes
 506. MTD5797 | Mozart - turkish                                             | 15 notes
 507. MTD6662 | Prokofiev - Op064-28                                         | 15 notes
 508. MTD6776 | Rachmaninoff - Op018-02                                      | 12 notes
 509. MTD6777 | Rachmaninoff - Op018-02                                      | 14 notes
 510. MTD6821 | Rachmaninoff - Op019-01                                      | 15 notes
 511. MTD6782 | Rachmaninoff - Op030-02                                      | 12 notes
 512. MTD6952 | Ravel - MR40-03                                              | 13 notes
 513. MTD6969 | Ravel - la Valse                                             | 10 notes
 514. MTD7040 | Respighi - P106-03                                           | 10 notes
 515. MTD7107 | Rimsky - Scheherezade                                        | 11 notes
 516. MTD7109 | Rimsky - Scheherezade                                        | 10 notes
 517. MTD7226 | Saint - CarnavalAnimaux-01                                   | 15 notes
 518. MTD7240 | Saint - Op033-03                                             | 13 notes
 519. MTD7308 | Saint - Op065-01                                             | 15 notes
 520. MTD7393 | Satie - Gnossiennes-03                                       | 14 notes
 521. MTD7394 | Satie - Gymnopedies-01                                       | 10 notes
 522. MTD7396 | Satie - Gymnopedies-03                                       | 14 notes
 523. MTD7667 | Schubert - D0408-01                                          | 15 notes
 524. MTD7669 | Schubert - D0408-03                                          | 11 notes
 525. MTD7671 | Schubert - D0408-04                                          | 13 notes
 526. MTD7674 | Schubert - D0574-02                                          |  8 notes
 527. MTD7676 | Schubert - D0574-04                                          | 11 notes
 528. MTD7647 | Schubert - D0575-01                                          | 12 notes
 529. MTD7648 | Schubert - D0575-01                                          | 10 notes
 530. MTD7639 | Schubert - D0664-01                                          | 13 notes
 531. MTD7641 | Schubert - D0664-03                                          | 13 notes
 532. MTD7642 | Schubert - D0664-03                                          | 15 notes
 533. MTD7604 | Schubert - D0667-03                                          | 15 notes
 534. MTD7605 | Schubert - D0667-03                                          | 14 notes
 535. MTD7606 | Schubert - D0667-04                                          | 14 notes
 536. MTD7755 | Schubert - D0759-02                                          |  7 notes
 537. MTD7756 | Schubert - D0759-02                                          | 14 notes
 538. MTD7757 | Schubert - D0759-02                                          |  8 notes
 539. MTD7536 | Schubert - D0780-02                                          | 15 notes
 540. MTD7537 | Schubert - D0780-02                                          | 11 notes
 541. MTD7541 | Schubert - D0780-05                                          | 12 notes
 542. MTD7542 | Schubert - D0780-06                                          | 12 notes
 543. MTD7543 | Schubert - D0780-06                                          | 11 notes
 544. MTD7643 | Schubert - D0784-01                                          | 10 notes
 545. MTD7644 | Schubert - D0784-02                                          | 11 notes
 546. MTD7646 | Schubert - D0784-03                                          | 11 notes
 547. MTD7591 | Schubert - D0810-02                                          | 10 notes
 548. MTD7592 | Schubert - D0810-03                                          | 15 notes
 549. MTD7593 | Schubert - D0810-03                                          | 14 notes
 550. MTD7595 | Schubert - D0810-04                                          | 10 notes
 551. MTD7629 | Schubert - D0845-01                                          | 15 notes
 552. MTD7630 | Schubert - D0845-02                                          | 11 notes
 553. MTD7631 | Schubert - D0845-03                                          | 13 notes
 554. MTD7632 | Schubert - D0894-01                                          | 11 notes
 555. MTD7635 | Schubert - D0894-03                                          | 15 notes
 556. MTD7519 | Schubert - D0899-02                                          | 12 notes
 557. MTD7522 | Schubert - D0899-04                                          | 11 notes
 558. MTD7768 | Schubert - D0929-02                                          | 13 notes
 559. MTD7769 | Schubert - D0929-03                                          | 15 notes
 560. MTD7654 | Schubert - D0960-01                                          | 14 notes
 561. MTD7655 | Schubert - D0960-01                                          | 14 notes
 562. MTD7656 | Schubert - D0960-02                                          | 10 notes
 563. MTD7520 | Schubert - Impromptu                                         | 13 notes
 564. MTD7765 | Schubert - Trio                                              | 14 notes
 565. MTD7767 | Schubert - Trio                                              | 15 notes
 566. MTD7752 | Schubert - Unfinished Symphony                               | 10 notes
 567. MTD7589 | Schubert - der Tod und das Mädchen                           | 12 notes
 568. MTD7601 | Schubert - forellenquintett                                  | 11 notes
 569. MTD7941 | Schumann - Op015-08                                          | 11 notes
 570. MTD7942 | Schumann - Op015-09                                          | 12 notes
 571. MTD7814 | Schumann - Op018                                             | 12 notes
 572. MTD7916 | Schumann - Op047-01                                          |  9 notes
 573. MTD7920 | Schumann - Op047-02                                          | 12 notes
 574. MTD7921 | Schumann - Op047-03                                          | 14 notes
 575. MTD7922 | Schumann - Op047-03                                          | 12 notes
 576. MTD7923 | Schumann - Op047-03                                          | 12 notes
 577. MTD7806 | Schumann - Op068-09                                          | 14 notes
 578. MTD7809 | Schumann - Op068-19                                          | 15 notes
 579. MTD7943 | Schumann - Schlummerlied                                     | 13 notes
 580. MTD8054 | Scriabin - Poeme de l Extase                                 | 15 notes
 581. MTD8105 | Shostakovich - Op010-01                                      | 10 notes
 582. MTD8113 | Shostakovich - Op010-04                                      | 14 notes
 583. MTD8099 | Shostakovich - Op040-01                                      | 15 notes
 584. MTD8117 | Shostakovich - Op047-01                                      | 12 notes
 585. MTD8118 | Shostakovich - Op047-01                                      |  8 notes
 586. MTD8119 | Shostakovich - Op047-01                                      | 14 notes
 587. MTD8150 | Shostakovich - Op070-02                                      | 15 notes
 588. MTD8154 | Shostakovich - Op070-04                                      | 13 notes
 589. MTD8327 | Sibelius - Valse triste                                      |  7 notes
 590. MTD8329 | Sibelius - Valse triste                                      | 14 notes
 591. MTD8330 | Sibelius - Valse triste                                      | 10 notes
 592. MTD8179 | Sibelius - finlandia                                         | 10 notes
 593. MTD8180 | Sibelius - finlandia                                         | 13 notes
 594. MTD8354 | Smetana - Moldau                                             | 12 notes
 595. MTD8355 | Smetana - Moldau                                             | 10 notes
 596. MTD8529 | Strauss - Op279                                              | 15 notes
 597. MTD8569 | Strauss - Op307                                              | 12 notes
 598. MTD8471 | Strauss - Op314                                              | 14 notes
 599. MTD8472 | Strauss - Op314                                              | 14 notes
 600. MTD8473 | Strauss - Op314                                              | 15 notes
 601. MTD8479 | Strauss - Op314                                              | 15 notes
 602. MTD8513 | Strauss - Op316                                              | 13 notes
 603. MTD8553 | Strauss - Op333                                              | 14 notes
 604. MTD8558 | Strauss - Op354                                              | 15 notes
 605. MTD8537 | Strauss - Op388                                              | 12 notes
 606. MTD8538 | Strauss - Op388                                              | 14 notes
 607. MTD8541 | Strauss - Op388                                              | 14 notes
 608. MTD8517 | Strauss - Op400                                              | 14 notes
 609. MTD8487 | Strauss - Op410                                              | 14 notes
 610. MTD8545 | Strauss - Op418                                              | 12 notes
 611. MTD8503 | Strauss - Op437                                              | 14 notes
 612. MTD8504 | Strauss - Op437                                              | 13 notes
 613. MTD8793 | Stravinsky - OctetWindInstruments-01                         | 15 notes
 614. MTD8795 | Stravinsky - OctetWindInstruments-01                         |  9 notes
 615. MTD9167 | Tchaikovsky - Blumenwaltzer (Nussknackersuite)               | 14 notes
 616. MTD9168 | Tchaikovsky - Blumenwaltzer (Nussknackersuite)               | 13 notes
 617. MTD9169 | Tchaikovsky - Blumenwaltzer (Nussknackersuite)               | 13 notes
 618. MTD9170 | Tchaikovsky - Blumenwaltzer (Nussknackersuite)               | 14 notes
 619. MTD9181 | Tchaikovsky - Op020-02                                       | 15 notes
 620. MTD9183 | Tchaikovsky - Op020-20                                       | 11 notes
 621. MTD9179 | Tchaikovsky - Op066-06                                       | 12 notes
 622. MTD9178 | Tchaikovsky - Op066-17                                       | 11 notes
 623. MTD9160 | Tchaikovsky - Op071-02                                       |  9 notes
 624. MTD9164-1 | Tchaikovsky - Op071-12b                                      | 11 notes
 625. MTD9164-2 | Tchaikovsky - Op071-12b                                      |  9 notes
 626. MTD9129 | Tchaikovsky - RomeoJuliet                                    | 14 notes
 627. MTD9130 | Tchaikovsky - RomeoJuliet                                    | 15 notes
 628. MTD9131 | Tchaikovsky - RomeoJuliet                                    | 11 notes
 629. MTD9515 | Wagner - WWV086C-2                                           | 13 notes
 630. MTD9516-1 | Wagner - WWV086C-2                                           | 11 notes
 631. MTD9516-2 | Wagner - WWV086C-2                                           | 11 notes
 632. MTD9525 | Wagner - WWV086D-3                                           | 14 notes
 633. MTD9526 | Wagner - WWV086D-3                                           | 11 notes
 634. MTD9527 | Wagner - WWV086D-3                                           |  9 notes
 635. MTD9528 | Wagner - WWV086D-3                                           | 15 notes
 636. MTD9530 | Wagner - WWV086D-3                                           | 11 notes
 637. MTD9695 | Weber - Invitation do the Dance                              | 14 notes
 638. MTD9699 | Weber - Invitation do the Dance                              |  8 notes
 639. MTD9700 | Weber - Invitation do the Dance                              | 15 notes

================================================================================
Total: 639 themes
Length range: 3-15 notes
Average length: 12.5 notes

By composer:
  Beethoven: 242 themes
  Mozart: 56 themes
  Schubert: 46 themes
  Brahms: 35 themes
  Chopin: 32 themes
  Debussy: 26 themes
  Haydn: 25 themes
  Mahler: 20 themes
  Bach: 19 themes
  Strauss: 17 themes
  Tchaikovsky: 14 themes
  Bartok: 12 themes
  Dvorak: 11 themes
  Schumann: 11 themes
  Shostakovich: 8 themes
  Wagner: 8 themes
  Liszt: 6 themes
  Mendelssohn: 5 themes
  Sibelius: 5 themes
  Milhaud: 4 themes
  Rachmaninoff: 4 themes
  Coleridge: 3 themes
  Handel: 3 themes
  Saint: 3 themes
  Satie: 3 themes
  Weber: 3 themes
  Bizet: 2 themes
  Ravel: 2 themes
  Rimsky: 2 themes
  Smetana: 2 themes
  Stravinsky: 2 themes
  Chaminade: 1 themes
  Dukas: 1 themes
  Grieg: 1 themes
  Khachaturian: 1 themes
  Kodaly: 1 themes
  Prokofiev: 1 themes
  Respighi: 1 themes
  Scriabin: 1 themes
